,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,0.019245540157498908,0.020754569575728965,0.003867510851705447,0.008622652698250022,0.005831649234096403,0.003690388592076488,0.11814906760264421,0.11814906760264421,0.009781997654499719,0.01852677657188906,0.00899504264089046,0.003690388592076488,0.5536995567435952,0.03944668134499807,0.00020590441454260144
2,Median,Exp-LDD,1.1621450539678335e-06,1.6943467926466838e-06,2.275137376273051e-07,6.357418897096068e-06,2.104776467604097e-05,4.5276301534613594e-06,1.805902866180986e-05,2.4485168978571892e-05,8.20273271529004e-08,2.9234961402835324e-06,4.5276301534613594e-06,3.488779839244671e-06,1.0,0.617864971896779,0.0141080951798358
3,Median,Exp-VD,0.0770006142774946,0.03812944412311481,0.021546060141190537,0.003690388592076488,0.00899504264089046,0.01251208440407936,0.03097046168477391,0.1058129653429205,0.03207873742940137,0.04080139504367253,0.01650634321049438,0.0368489142110775,0.6272851643807371,0.2948169606661395,0.04219436091807438
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,0.03097046168477391,0.02589861064188881,0.004870718326856149,0.060269491961662425,0.08920892782589362,0.023206125308206538,0.06616061626664305,0.048164484947847086,0.008622652698250022,0.046610625882749446,0.0918240616483672,0.006657873602307518,0.26487403590545,0.10879914976976579,0.0013674832061951747
6,IQR,Exp-LDD,3.1632225727662444e-09,1.8109858501702547e-08,2.3623215383850038e-08,4.320099833421409e-09,1.4608849596697837e-07,5.723268259316683e-08,1.8109858501702547e-08,3.1401395972352475e-07,7.284143066499382e-08,2.3623215383850038e-08,4.765788617078215e-07,2.822944225044921e-07,0.009381349105751724,0.015876221947110025,0.007264065483468585
7,IQR,Exp-VD,0.10879914976976579,0.10289067040321243,0.023206125308206538,0.043626361240967526,0.08415465162215696,0.03207873742940137,0.1617874718067469,0.13868038851069286,0.07033917775879672,0.10289067040321243,0.14608894804041483,0.043626361240967526,4.098819044884294e-05,0.0029080943877488608,0.002770629538645153
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,4.7302397433668375e-05,6.268265497055836e-05,4.404162064020056e-05,0.0004022172452096129,0.0004523318730207393,0.0003790976079471875,0.00028057557574356906,0.0004523318730207393,0.0003790976079471875,8.831049490254372e-05,8.252464976976626e-05,6.268265497055836e-05,0.19219595044887683,0.007917965558590367,0.0009411722930963151
10,Log Mean,Exp-LDD,6.748450687155128e-10,2.293745637871325e-09,1.9444996723905206e-09,5.844412953592837e-09,1.8109858501702547e-08,1.8109858501702547e-08,1.3860699255019426e-09,3.701643436215818e-09,3.1632225727662444e-09,1.9444996723905206e-09,5.844412953592837e-09,5.029505700804293e-09,0.6085058219759958,0.8057269839482615,0.07033917775879672
11,Log Mean,Exp-VD,0.0004266080886736745,0.0006384575062838849,0.0004794529413629789,0.0021662512626789976,0.002770629538645153,0.0022767432674299926,0.0004266080886736745,0.0006384575062838849,0.0004794529413629789,0.000714401952791377,0.0009411722930963151,0.0006754665791959269,0.07250633211879176,0.21131373006210197,0.2825841121848498
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,0.47620780297620513,0.5013747400735156,0.48452077669571736,0.24792719178185507,0.2162961354260915,0.20641296513713314,0.14990237551683094,0.1617874718067469,0.1315581506714807,0.12139880184622598,0.14608894804041483,0.13508384089254832,0.7749952346202917,0.27069234351074556,0.14990237551683094
14,Log StDev,Exp-LDD,0.0003790976079471875,0.0004022172452096129,0.0005080382052256027,0.00024816789118631277,0.0003790976079471875,0.0004266080886736745,6.268265497055836e-05,8.831049490254372e-05,6.718428085150663e-05,0.00011535796875250526,0.00017029843002092093,0.00017029843002092093,1.430089287168812e-05,3.545586332620587e-05,3.295479837106541e-05
15,Log StDev,Exp-VD,0.5536995567435952,0.599208943085614,0.6085058219759958,0.17008811905543553,0.1315581506714807,0.1423485195809917,0.17435350978121278,0.11185002994352544,0.10879914976976579,0.1315581506714807,0.13868038851069286,0.1537894909415627,1.6007106751203537e-10,8.130882633849978e-10,1.1641532182693481e-09
