,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,0.07472652908654709,0.0450981847334333,0.0006754665791959269,0.2213606056466233,0.3974238318751304,0.10289067040321243,0.8890015714441688,0.6272851643807371,0.14990237551683094,0.20159339489509875,0.13868038851069286,0.017157761747512268,0.3899927400161687,0.3138070678778604,0.6655508074145473
2,Median,Exp-LDD,0.02497325502190506,0.02589861064188881,0.0012308068326092325,0.3138070678778604,0.34716529149409325,0.04080139504367253,0.9628961195248849,0.40493773964954016,0.06616061626664305,0.5359713830403052,0.11814906760264421,0.006096451763369259,0.617864971896779,0.9628961195248849,0.09449897358172166
3,Median,Exp-VD,0.023206125308206538,0.0450981847334333,0.00029818139228154905,0.35409228332900966,0.7852034492480016,0.0770006142774946,0.6558992899281293,0.8785070700851065,0.10289067040321243,0.4125340336249792,0.6850159026034817,0.06616061626664305,0.1423485195809917,0.05308265297571779,0.19219595044887683
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,0.0004523318730207393,0.004870718326856149,0.0022767432674299926,0.42021225081225566,0.3826448613508546,0.617864971896779,0.259140549798758,0.06616061626664305,0.03560432962331106,0.02884993747647968,0.6272851643807371,0.5185272742000961,0.22650754260575923,0.19685455255421402,0.04080139504367253
6,IQR,Exp-LDD,9.446514923183713e-05,0.00024816789118631277,4.098819044884294e-05,0.05658342447895848,0.04080139504367253,0.02884993747647968,7.708757948421407e-05,0.003051583886190201,0.0012308068326092325,0.04219436091807438,0.2424468300960143,0.20159339489509875,0.2162961354260915,0.2162961354260915,0.7749952346202917
7,IQR,Exp-VD,0.005576999594268273,0.022363033434885438,0.006955192886380246,0.5272133391008538,0.6752568088832049,0.4358124383925315,0.02685272056623944,0.04080139504367253,0.02685272056623944,0.7145974449867936,0.6367651425298391,0.9205922683031531,0.443733318028535,0.5536995567435952,0.26487403590545
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,0.00010100967301696073,2.639073136379011e-05,2.8431650207494386e-05,0.10289067040321243,0.062184092836105265,0.05308265297571779,0.006096451763369259,0.0008912169196264585,0.0012308068326092325,0.006955192886380246,0.00352048356035084,0.0032013230738812126,0.8160389817658142,0.7345573100628826,0.7345573100628826
10,Log Mean,Exp-LDD,0.0006754665791959269,0.00012320928908593487,0.0001079662160918815,0.049760567819248536,0.021546060141190537,0.020754569575728965,0.01355766506276268,0.0019595077046687948,0.002638970910993521,0.01302583178403438,0.004444812017027289,0.004052109774420387,0.5359713830403052,0.21131373006210197,0.11185002994352544
11,Log Mean,Exp-VD,7.708757948421407e-05,2.4485168978571892e-05,2.104776467604097e-05,0.06414752090131515,0.058402880749781616,0.05658342447895848,0.006371744650095934,0.003051583886190201,0.003051583886190201,0.017831046616265667,0.01251208440407936,0.011074391617512447,0.0450981847334333,0.11185002994352544,0.32030806105103693
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,0.009381349105751724,0.007917965558590367,0.00758486291852023,0.5717037787562731,0.7648249070225575,0.7446043581785489,8.252464976976626e-05,7.708757948421407e-05,5.078317190054804e-05,0.17869641572360706,0.45981367328386114,0.3974238318751304,0.02884993747647968,0.004444812017027289,0.03207873742940137
14,Log StDev,Exp-LDD,3.813006878772285e-05,5.078317190054804e-05,5.449729542306159e-05,0.05481029127986403,0.05308265297571779,0.046610625882749446,5.029505700804293e-09,7.839844329282641e-09,1.2008968042209744e-08,0.001862897997852997,0.02589861064188881,0.017831046616265667,0.043626361240967526,0.02589861064188881,0.27069234351074556
15,Log StDev,Exp-VD,0.012015921452984912,0.02884993747647968,0.029894433579102042,0.7245544941888511,0.617864971896779,0.6752568088832049,0.00011535796875250526,0.0003790976079471875,0.00023327588314714376,0.32030806105103693,0.5626676823321759,0.48452077669571736,0.17435350978121278,0.36820016943056544,0.0770006142774946
