,Type,Method,Open (RMSE),Open (MAE),Open (MAPE),High (RMSE),High (MAE),High (MAPE),Low (RMSE),Low (MAE),Low (MAPE),Close (RMSE),Close (MAE),Close (MAPE),Volume (RMSE),Volume (MAE),Volume (MAPE)
0,Median,P-FTD,,,,,,,,,,,,,,,
1,Median,LDD,0.6272851643807371,0.7345573100628826,0.7852034492480016,0.7546940826050559,0.7245544941888511,0.8890015714441688,0.9523059934635967,0.9205922683031531,0.9734926504152099,0.9628961195248849,0.8995151304461615,0.9946976143110078,0.05658342447895848,0.10289067040321243,0.826382224491681
2,Median,Exp-LDD,0.8680334030395898,0.7546940826050559,0.5536995567435952,0.7345573100628826,0.7648249070225575,0.32689447529082827,0.7852034492480016,0.8785070700851065,0.33356623058170953,0.8995151304461615,0.8575823361643415,0.3826448613508546,0.1617874718067469,0.0368489142110775,0.7648249070225575
3,Median,Exp-VD,0.0918240616483672,0.3753805605592788,0.34032321635640983,0.42021225081225566,0.8057269839482615,0.5717037787562731,0.48452077669571736,0.6948266715426143,0.617864971896779,0.589975534387122,0.8995151304461615,0.5717037787562731,0.5099141109240009,0.8057269839482615,0.9946976143110078
4,IQR,P-FTD,,,,,,,,,,,,,,,
5,IQR,LDD,1.278353011002764e-06,1.634398358874023e-07,5.844412953592837e-09,0.020754569575728965,0.01650634321049438,0.022363033434885438,2.2321128199109808e-06,2.6737125153886154e-06,4.765788617078215e-07,0.002638970910993521,0.002638970910993521,0.002060566714135348,0.004444812017027289,0.007264065483468585,0.00758486291852023
6,IQR,Exp-LDD,2.293745637871325e-09,5.584297468885779e-10,4.320099833421409e-09,0.00019334589705977123,0.0004022172452096129,0.0009411722930963151,5.371159204514697e-06,1.3795215636491776e-08,6.460686563514173e-08,9.446514923183713e-05,0.00014978252875152975,0.00024816789118631277,0.9628961195248849,0.8575823361643415,0.09449897358172166
7,IQR,Exp-VD,0.009381349105751724,0.015876221947110025,0.005831649234096403,0.4358124383925315,0.599208943085614,0.8160389817658142,0.01852677657188906,0.027836266126541886,0.019245540157498908,0.14608894804041483,0.07472652908654709,0.28865784978552256,0.012015921452984912,0.010628069954691455,0.005831649234096403
8,Log Mean,P-FTD,,,,,,,,,,,,,,,
9,Log Mean,LDD,0.4358124383925315,0.3753805605592788,0.3753805605592788,0.8680334030395898,0.7446043581785489,0.7648249070225575,0.6850159026034817,0.5626676823321759,0.5808067661073437,0.9628961195248849,0.9205922683031531,0.9205922683031531,0.03812944412311481,0.046610625882749446,0.6850159026034817
10,Log Mean,Exp-LDD,0.7145974449867936,0.6752568088832049,0.7046876743079338,0.8575823361643415,0.7749952346202917,0.7749952346202917,0.9417240968323313,0.9523059934635967,0.9417240968323313,0.826382224491681,0.9205922683031531,0.8890015714441688,0.23705031063764181,0.0450981847334333,0.5448004511072213
11,Log Mean,Exp-VD,0.6463036218483467,0.7749952346202917,0.7446043581785489,0.5626676823321759,0.7046876743079338,0.6948266715426143,0.8785070700851065,0.8367550107286661,0.8995151304461615,0.6463036218483467,0.7648249070225575,0.7345573100628826,0.5808067661073437,0.8680334030395898,0.9946976143110078
12,Log StDev,P-FTD,,,,,,,,,,,,,,,
13,Log StDev,LDD,1.9444996723905206e-09,1.0437361197546124e-08,1.2008968042209744e-08,0.01302583178403438,0.011536851214259514,0.01251208440407936,5.06388460053131e-08,2.275137376273051e-07,2.535471139708534e-07,0.00014039414600119926,8.831049490254372e-05,9.446514923183713e-05,0.005831649234096403,0.007917965558590367,0.01650634321049438
14,Log StDev,Exp-LDD,6.002665031701326e-11,3.456079866737127e-11,3.456079866737127e-11,0.00017029843002092093,0.00018148900744563434,0.00017029843002092093,7.137441571103409e-07,7.880189514253289e-07,7.880189514253289e-07,4.404162064020056e-05,0.00012320928908593487,9.446514923183713e-05,0.1058129653429205,0.16589964473860164,0.01251208440407936
15,Log StDev,Exp-VD,6.718428085150663e-05,2.639073136379011e-05,2.639073136379011e-05,0.34716529149409325,0.42797189528209856,0.3826448613508546,0.0006032901037542615,0.0006384575062838849,0.0005080382052256027,0.14608894804041483,0.11185002994352544,0.09723449486591562,0.0011065220933232922,0.006371744650095934,0.0019595077046687948
